20 21
20 14 0
0 2 0
0 0 2
5 16 2
9 10 1
16 6 1
6 1 1
17 14 3
17 4 1
4 0 1
4 2 2
18 10 0
3 14 3
15 14 2
12 1 2
9 11 3
8 7 0
15 4 3
17 15 2
10 17 3
0 8 0
8 2 3
3 15 2
11 8 1
6 14 3
9 12 0
20 17 0
2 9 2
16 0 2
7 11 0
9 1 1
17 5 1
12 14 1
1 10 2
10 6 0
14 11 2
18 1 0
15 17 1
12 15 1
13 0 2
17 19 1
18 13 3
16 8 0
5 7 0
15 18 1
5 2 1
0 11 0
4 10 3
1 12 0
6 18 1
11 11 1
3 6 1
9 15 3
8 10 0
19 10 2
10 0 1
10 2 3
12 18 1
2 12 3
11 12 1
6 6 0
2 1 2
20 0 0
2 13 0
13 9 1
17 0 1
1 4 0
12 6 2
9 18 3
3 7 3
19 12 3
18 17 2
4 13 3
15 7 1
0 14 0
7 16 1
1 15 0
15 2 1
7 5 0
2 4 2
19 1 0
20 8 0
7 17 1
11 4 3
10 9 1
16 12 0
8 13 0
14 16 1
17 8 0
14 5 3
7 19 1
3 8 2
10 3 0
2 16 2
1 18 1
8 4 3
0 5 0
11 16 3
14 19 1
0 17 0
1 19 1
11 5 0
20 3 0
9 7 0
5 12 3
19 15 0
13 13 1
4 5 1
6 9 0
4 17 2
18 7 3
11 19 1
15 10 2
3 3 2
8 5 2
15 3 1
17 11 0
2 6 0
4 19 1
7 0 1
3 11 3
10 13 1
6 3 1
5 4 1
14 7 2
14 2 0
1 7 0
12 10 1
14 0 3
18 8 2
1 0 1
5 15 3
1 2 2
12 3 3
10 14 3
19 6 3
13 16 2
3 1 1
13 5 2
7 8 0
